"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "Markdown", "CSV", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\cards.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\data.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\title.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\nav\data.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\students\data.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 3, 2, 30
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\data.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\layout.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\components\Student.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\contact\data.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\global\data.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\data.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\head\data.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
