"filename", "language", "JavaScript", "CSV", "SCSS", "JavaScript JSX", "Properties", "Markdown", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\feedback\feedback.scss", "SCSS", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 1, 110
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss", "SCSS", 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, -1, 37
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\functions.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\header.scss", "SCSS", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\media.scss", "SCSS", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\settings\settings.scss", "SCSS", 0, 0, 288, 0, 0, 0, 0, 0, 0, 5, 3, 296
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\uni.scss", "SCSS", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\home.scss", "SCSS", 0, 0, 97, 0, 0, 0, 0, 0, 0, 2, 1, 100
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\media.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\pages.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"Total", "-", 43, 193, 756, 231, -1, -14, -36, -18534, -59, 19, 10, -17392
