"filename", "language", "SCSS", "JavaScript", "CSV", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\programs\data.js", "JavaScript", 0, -13, 0, 0, 0, -1, -1, -15
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\feedback\feedback.scss", "SCSS", 76, 0, 0, 0, 0, 2, -1, 77
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss", "SCSS", 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\vars.scss", "SCSS", 9, 0, 0, 0, 0, 1, 1, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\home.scss", "SCSS", 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\media.scss", "SCSS", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\jobs.scss", "SCSS", 73, 0, 0, 0, 0, 7, 0, 80
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\media.scss", "SCSS", 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\jobs\pages.scss", "SCSS", 62, 0, 0, 0, 0, 0, 2, 64
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\media.scss", "SCSS", -11, 0, 0, 0, 0, 0, 0, -11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\pages.scss", "SCSS", -62, 0, 0, 0, 0, 0, -2, -64
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\programs.scss", "SCSS", -73, 0, 0, 0, 0, -7, 0, -80
"Total", "-", 171, 4, 0, 28, 0, 5, 3, 211
