"filename", "language", "Markdown", "SCSS", "JavaScript", "JavaScript JSX", "JSON", "CSV", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\jobs\pages\json\wd.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\README.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\cards.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\data.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\title.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\nav\data.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\students\data.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 1, 2, 28
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\data.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\layout.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\components\Student.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\contact\data.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\global\data.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\global\settings\data.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
