"filename", "language", "Markdown", "Properties", "YAML", "JavaScript", "JavaScript JSX", "JSON", "CSV", "SCSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\contact.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 27
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\media.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 41
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\feedback\feedback.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 1, 107
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 35, 218
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\functions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 2, 1, 172
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\media.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 67
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\settings\settings.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 227, 0, 0, 4, 1, 232
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\uni.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 2, 101
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\vars.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 13, 1, 240
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\media.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 1, 94
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\media.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\pages.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 2, 64
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\programs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 7, 0, 80
"c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\videos\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 114, 1, 24, 254, 965, 18992, 193, 1922, 63, 64, 66, 197, 22855
